iter	Passed	Remaining
1382	6091	214139
1383	6095	214132
1384	6100	214118
1385	6104	214110
1386	6108	214098
1387	6112	214087
1388	6116	214070
1389	6120	214046
1390	6124	214032
1391	6129	214023
1392	6132	213999
1393	6136	213977
1394	6142	214011
1395	6146	214003
1396	6150	213988
1397	6154	213967
1398	6158	213952
1399	6162	213927
1400	6166	213915
1401	6171	213909
1402	6175	213898
1403	6179	213885
1404	6183	213868
1405	6187	213854
1406	6191	213827
1407	6195	213813
1408	6199	213799
1409	6203	213776
1410	6207	213756
1411	6211	213742
1412	6215	213725
1413	6219	213711
1414	6223	213688
1415	6227	213673
1416	6231	213660
1417	6236	213670
1418	6242	213721
1419	6247	213730
1420	6251	213716
1421	6255	213703
1422	6259	213689
1423	6263	213675
1424	6267	213661
1425	6272	213645
1426	6275	213615
1427	6279	213603
1428	6284	213592
1429	6288	213580
1430	6292	213556
1431	6296	213548
1432	6301	213560
1433	6306	213571
1434	6310	213562
1435	6314	213546
1436	6318	213518
1437	6321	213488
1438	6333	213719
1439	6343	213919
1440	6350	213989
1441	6355	214027
1442	6361	214053
1443	6365	214061
1444	6370	214060
1445	6374	214046
1446	6378	214034
1447	6382	214015
1448	6386	213995
1449	6390	213982
1450	6395	213970
1451	6399	213982
1452	6404	213992
1453	6409	213988
1454	6413	213980
1455	6417	213957
1456	6421	213936
1457	6425	213936
1458	6430	213937
1459	6434	213922
1460	6438	213906
1461	6442	213897
1462	6446	213880
1463	6451	213880
1464	6455	213876
1465	6459	213859
1466	6463	213836
1467	6467	213818
1468	6471	213803
1469	6475	213789
1470	6480	213781
1471	6484	213767
1472	6488	213744
1473	6492	213727
1474	6496	213707
1475	6500	213695
1476	6503	213671
1477	6507	213654
1478	6511	213635
1479	6515	213616
1480	6520	213605
1481	6524	213607
1482	6529	213599
1483	6533	213588
1484	6537	213570
1485	6541	213563
1486	6545	213556
1487	6550	213558
1488	6554	213552
1489	6558	213537
1490	6562	213519
1491	6566	213499
1492	6570	213479
1493	6574	213470
1494	6579	213459
1495	6583	213461
1496	6588	213466
1497	6592	213451
1498	6596	213438
1499	6600	213420
1500	6604	213411
1501	6609	213398
1502	6613	213388
1503	6617	213372
1504	6621	213361
1505	6626	213380
1506	6630	213364
1507	6634	213352
1508	6639	213343
1509	6643	213329
1510	6647	213307
1511	6650	213284
1512	6654	213262
1513	6658	213245
1514	6662	213230
1515	6666	213211
1516	6670	213193
1517	6674	213177
1518	6678	213163
1519	6683	213153
1520	6687	213140
1521	6691	213122
1522	6695	213112
1523	6699	213094
1524	6703	213085
1525	6707	213074
1526	6711	213055
1527	6715	213039
1528	6719	213030
1529	6724	213033
1530	6728	213009
1531	6732	212991
1532	6736	212977
1533	6740	212956
1534	6744	212940
1535	6748	212925
1536	6752	212910
1537	6757	212916
1538	6761	212898
1539	6765	212896
1540	6769	212880
1541	6773	212874
1542	6778	212878
1543	6783	212893
1544	6787	212885
1545	6792	212875
1546	6796	212855
1547	6799	212835
1548	6804	212823
1549	6808	212810
1550	6812	212800
1551	6816	212789
1552	6821	212794
1553	6825	212796
1554	6829	212770
1555	6835	212808
1556	6839	212807
1557	6845	212850
1558	6851	212901
1559	6856	212903
1560	6861	212902
1561	6865	212902
1562	6870	212922
1563	6875	212944
1564	6882	212992
1565	6886	212999
1566	6892	213019
1567	6896	213007
1568	6902	213055
1569	6907	213063
1570	6911	213065
1571	6916	213076
1572	6925	213213
1573	6931	213252
1574	6935	213242
1575	6942	213302
1576	6948	213351
1577	6955	213425
1578	6960	213448
1579	6966	213489
1580	6971	213502
1581	6976	213531
1582	6983	213583
1583	6988	213611
1584	6993	213620
1585	6998	213645
1586	7004	213667
1587	7008	213671
1588	7013	213684
1589	7018	213682
1590	7023	213701
1591	7029	213735
1592	7035	213775
1593	7040	213808
1594	7046	213850
1595	7052	213876
1596	7056	213861
1597	7061	213875
1598	7066	213886
1599	7071	213926
1600	7076	213911
1601	7081	213943
1602	7086	213962
1603	7092	213982
1604	7097	214018
1605	7103	214064
1606	7108	214070
